@RELATION svm_paper_noise
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {002-Noise,001-Paper}

@DATA
0.035472,0.058741,3.063735,0.086100,0.152934,0.032640,0.013651,0.040653,-24.548648,1.641908,-1.187900,0.547722,0.841462,0.265563,-0.331348,0.219344,-0.058745,-0.181598,0.257870,0.084674,0.035940,0.014219,0.011559,0.081186,0.009849,0.006822,0.008620,0.033402,0.007414,0.005393,0.006193,0.009513,0.010643,0.032371,-0.000231,0.000256,0.000701,0.000137,0.000385,-0.000146,0.000049,-0.000045,0.006513,0.011108,0.008295,-0.001766,-0.003748,0.000926,0.006286,-0.001621,-0.005769,0.002736,0.007215,-0.002064,-0.002411,-0.000004,-0.000004,0.002039,0.000004,-0.000016,0.000011,0.001345,0.000006,0.000021,0.000076,-0.000172,-0.001793,0.000168,0.003879,0.026130,0.120856,0.018540,0.028171,0.014169,0.006568,0.002511,0.488744,0.277680,0.235061,0.296067,0.267941,0.297365,0.304019,0.263114,0.311903,0.364252,0.350400,0.245335,0.121728,0.020242,0.018429,0.058812,0.013166,0.007457,0.011571,0.019997,0.012018,0.005716,0.007545,0.009167,0.021653,0.013810,0.004185,0.027670,0.173848,0.024852,0.037872,0.018637,0.008886,0.000986,0.587292,0.312439,0.292286,0.272381,0.244691,0.245188,0.268555,0.249443,0.216984,0.239486,0.225747,0.236214,0.170240,0.022093,0.021421,0.060874,0.012952,0.008958,0.011425,0.023498,0.012323,0.006105,0.007324,0.011887,0.016698,0.016129,002-Noise
0.017151,0.001472,1.648138,0.037319,0.039261,0.162015,0.001014,0.021797,-46.806113,0.238486,0.013109,0.058967,0.038562,0.055340,-0.052398,0.000012,-0.044167,-0.028016,0.004388,0.018019,0.018380,0.001576,0.000321,0.003594,0.003147,0.144889,0.001552,0.006294,0.000472,0.000610,0.002081,0.002332,0.000626,0.040418,-0.000581,-0.000000,-0.011902,-0.001928,-0.002524,-0.002724,0.000000,-0.000154,-0.114579,-0.026407,-0.004151,-0.009459,-0.001479,-0.001127,-0.000435,-0.000838,0.002004,0.002828,0.000367,-0.001001,-0.001743,-0.000075,-0.000006,-0.000427,-0.000153,0.000853,-0.000228,-0.000384,-0.000005,-0.000013,-0.000219,-0.000252,-0.000009,0.000232,0.007694,0.004016,0.099261,0.012223,0.008564,0.110186,0.002143,0.018281,1.214762,0.246913,0.058477,0.133707,0.034426,0.043130,0.067280,0.040008,0.025755,0.029177,0.041649,0.036956,0.029849,0.001281,0.000214,0.003048,0.002650,0.009822,0.000933,0.004721,0.000445,0.000433,0.001822,0.001774,0.000457,0.002586,0.008077,0.004305,0.114531,0.031030,0.018990,0.078383,0.002828,0.008023,0.912481,0.255578,0.053621,0.116473,0.045674,0.058106,0.059594,0.058309,0.033404,0.049194,0.063955,0.055102,0.060234,0.002275,0.000345,0.004793,0.003560,0.016011,0.001322,0.006280,0.000478,0.000741,0.002340,0.002466,0.000450,0.003642,002-Noise
0.067464,0.098303,3.070712,0.165494,0.195785,0.445778,0.000644,0.039583,-21.522094,2.150793,0.695180,0.475450,0.073650,0.126400,0.103527,0.255919,0.027396,0.014365,0.150143,-0.118835,-0.146814,0.004984,0.003468,0.033226,0.010091,0.057093,0.004185,0.148109,0.000785,0.002816,0.015783,0.026581,0.000818,0.041146,0.000050,0.000042,-0.002207,-0.000039,0.000067,-0.000458,0.000010,-0.000009,0.000772,0.000560,-0.000596,-0.000398,-0.000349,0.001681,-0.000114,0.000258,-0.000115,0.000262,-0.000394,-0.001734,-0.001850,0.000037,0.000014,-0.000183,0.000027,-0.000143,-0.000027,0.000219,-0.000001,-0.000044,-0.000097,0.000283,0.000008,0.000052,0.005766,0.005449,0.052569,0.005922,0.007944,0.028305,0.000245,0.007312,0.089609,0.089180,0.100386,0.089823,0.085228,0.090592,0.092745,0.095346,0.086965,0.085087,0.090167,0.087395,0.085445,0.003045,0.000944,0.015197,0.005310,0.014468,0.003021,0.017205,0.000420,0.001538,0.008548,0.009811,0.000417,0.004059,0.007319,0.006998,0.087325,0.007860,0.011042,0.035216,0.000349,0.009319,0.126582,0.118594,0.145838,0.120475,0.109289,0.115187,0.113508,0.127360,0.115042,0.099708,0.114730,0.113003,0.113178,0.003383,0.001528,0.010815,0.004317,0.008372,0.002734,0.020705,0.000436,0.001570,0.004536,0.006586,0.000520,0.005051,002-Noise
0.039632,0.000817,2.596528,0.186602,0.236242,0.227336,0.011255,0.021134,-34.949653,2.055488,0.330095,0.341190,0.392437,0.236339,0.054393,0.150651,0.155455,0.082648,0.027312,0.070096,0.068953,0.006001,0.001917,0.141756,0.004572,0.021032,0.002971,0.164642,0.001290,0.002291,0.005124,0.022851,0.001839,0.063320,-0.000154,0.000006,-0.011559,-0.002032,-0.001606,-0.000454,0.000041,0.000454,0.105885,0.002256,-0.009709,-0.006093,0.005673,-0.000454,0.002147,-0.002423,-0.004483,-0.001645,0.005107,-0.000659,-0.000912,0.000013,0.000015,-0.000276,0.000073,-0.000143,0.000083,-0.002033,0.000171,0.000083,0.000033,0.000529,0.000038,-0.000521,0.019624,0.003235,0.400462,0.060119,0.058460,0.219584,0.007454,0.034581,3.751238,0.702496,0.551020,0.416759,0.366466,0.230626,0.272574,0.219845,0.209057,0.190089,0.156622,0.152212,0.154187,0.010126,0.004139,0.097157,0.007577,0.017421,0.004615,0.105475,0.002997,0.004002,0.006721,0.019151,0.003343,0.028431,0.025893,0.004547,0.478811,0.048441,0.040952,0.277338,0.009523,0.036644,2.773322,0.819628,0.659500,0.454400,0.487144,0.337770,0.355896,0.305567,0.300179,0.260961,0.201260,0.198088,0.204005,0.012415,0.004623,0.126689,0.008601,0.024727,0.005273,0.131309,0.003037,0.003676,0.007294,0.027299,0.003689,0.026204,002-Noise
0.045957,0.002877,2.952650,0.120125,0.174588,0.308347,0.007574,0.062405,-31.199461,1.908399,0.162364,0.072767,-0.415931,-0.113069,-0.232045,0.045763,0.300370,0.069020,0.221203,0.038185,-0.010767,0.006020,0.003876,0.051597,0.009420,0.028816,0.004631,0.086163,0.001143,0.006123,0.015726,0.035603,0.005890,0.033959,-0.001470,-0.000029,-0.000516,-0.001495,-0.000095,-0.015108,0.000039,-0.003004,-0.077881,0.044045,-0.001196,-0.001758,0.003239,-0.005469,0.005204,-0.001993,0.002194,0.006662,-0.000172,-0.000270,0.000287,0.000001,-0.000165,0.000476,-0.000044,0.000532,0.000004,0.001658,-0.000002,0.000007,0.000135,0.000385,0.000004,0.000422,0.024490,0.005777,0.277244,0.032069,0.024402,0.293719,0.004501,0.042217,2.280922,0.610753,0.624908,0.405105,0.304783,0.237814,0.293549,0.337067,0.286214,0.306560,0.252552,0.217623,0.188931,0.005735,0.003883,0.050242,0.009390,0.017402,0.007311,0.060727,0.002170,0.008193,0.011599,0.022576,0.006534,0.014745,0.019717,0.007570,0.373980,0.026239,0.027018,0.213533,0.005958,0.032509,2.126947,0.520728,0.448686,0.433208,0.272942,0.273141,0.281103,0.336314,0.305023,0.287103,0.272691,0.265743,0.243390,0.007074,0.004651,0.064008,0.010288,0.022311,0.008811,0.074909,0.002793,0.009400,0.015519,0.027212,0.007271,0.018280,002-Noise
0.072854,0.020630,3.260318,0.134867,0.160095,0.489327,0.010874,0.091733,-26.629697,0.312280,-0.637647,0.121747,0.264367,-0.177633,-0.140525,0.319633,0.020490,0.345527,0.070705,0.210376,-0.043516,0.008712,0.009086,0.010309,0.004709,0.013668,0.005374,0.023720,0.006119,0.002677,0.014764,0.015649,0.008768,0.019498,-0.000390,-0.000141,-0.000406,0.000150,0.000486,-0.003752,0.000039,-0.000172,-0.035081,0.015837,-0.008911,0.008268,0.008678,0.001865,0.003086,-0.006084,-0.002372,-0.000532,0.004145,-0.004189,0.000419,0.000034,0.000035,0.000270,0.000011,0.000065,0.000060,-0.000657,0.000147,0.000033,0.000187,0.000273,0.000175,-0.000170,0.011929,0.013612,0.047958,0.014103,0.020468,0.211085,0.008227,0.017291,0.529442,0.371788,0.308936,0.288177,0.247484,0.333748,0.222812,0.223153,0.270973,0.271669,0.306301,0.244716,0.275791,0.015627,0.018260,0.015044,0.007689,0.021951,0.008112,0.025688,0.013591,0.003138,0.022244,0.016688,0.017867,0.014053,0.011527,0.008905,0.065954,0.015993,0.025683,0.159948,0.009088,0.018201,0.432129,0.358111,0.288820,0.307044,0.313138,0.287098,0.240814,0.252244,0.258614,0.268534,0.199185,0.207534,0.218869,0.013325,0.017858,0.017038,0.009186,0.021709,0.008900,0.033984,0.016506,0.003839,0.020129,0.017726,0.024906,0.018789,002-Noise
0.067055,0.037249,3.258868,0.130387,0.165993,0.477181,0.011148,0.082468,-24.465721,0.535432,-0.897052,0.221481,0.434744,-0.227897,-0.108564,0.235461,0.049615,0.341550,-0.068234,0.176130,0.032262,0.005616,0.007295,0.010713,0.008016,0.003886,0.017113,0.014063,0.004866,0.001798,0.005929,0.013927,0.035926,0.024236,-0.000141,0.000296,0.000163,0.000035,0.000299,-0.001028,0.000085,-0.000163,-0.002245,0.004784,-0.000674,-0.003444,0.005579,0.003506,-0.003537,-0.003427,0.002611,0.000848,-0.007431,0.006963,0.004263,0.000008,-0.000040,-0.000023,-0.000012,-0.000230,-0.000117,0.000011,-0.000000,-0.000002,-0.000036,-0.000214,0.002998,0.000759,0.012399,0.019994,0.058526,0.015196,0.022343,0.207480,0.008409,0.022272,0.673366,0.478000,0.345659,0.312107,0.281534,0.239768,0.240182,0.224370,0.239788,0.317030,0.287585,0.307076,0.249698,0.014673,0.020165,0.022589,0.013983,0.006010,0.018189,0.017862,0.011562,0.002151,0.009145,0.014179,0.038758,0.014865,0.008717,0.015992,0.061833,0.017512,0.026291,0.138211,0.008454,0.015837,0.496396,0.357910,0.321281,0.301270,0.263076,0.228839,0.242498,0.297362,0.253397,0.258165,0.248864,0.224357,0.240597,0.019894,0.026137,0.026838,0.014159,0.006556,0.013373,0.014969,0.013107,0.002319,0.012139,0.013428,0.021050,0.016794,002-Noise
0.173212,0.020405,3.171939,0.264658,0.238462,1.380595,0.004339,0.288711,-26.528642,0.408103,0.784691,0.057376,-0.037609,0.369908,-0.470800,0.247995,-0.331433,-0.050854,-0.030786,-0.103662,-0.093524,0.015278,0.006400,0.012310,0.008093,0.011071,0.005873,0.024591,0.002092,0.002658,0.006149,0.007466,0.002319,0.010615,0.000386,-0.000104,0.002552,0.000714,0.000687,0.008187,0.000011,0.001887,-0.008694,0.012629,-0.010155,0.009143,-0.004870,0.002164,0.003173,-0.005303,0.004212,-0.000943,0.002474,-0.001380,-0.001711,0.000060,0.000018,0.000111,0.000024,0.000350,0.000030,0.000199,-0.000000,0.000023,0.000062,0.000357,0.000005,0.000076,0.041525,0.024143,0.127652,0.032170,0.018145,0.437159,0.003280,0.135239,0.519037,0.584209,0.432128,0.287943,0.261925,0.272462,0.256437,0.270470,0.261033,0.268102,0.209780,0.171563,0.183001,0.011822,0.012672,0.008689,0.007334,0.008168,0.004750,0.019177,0.001897,0.002461,0.005485,0.005709,0.002353,0.006727,0.030078,0.020651,0.178107,0.024094,0.016923,0.341478,0.003650,0.102879,0.411247,0.448128,0.375933,0.302872,0.278281,0.232998,0.259620,0.241197,0.241484,0.243861,0.228653,0.206795,0.210849,0.015552,0.012509,0.011440,0.009066,0.010915,0.005511,0.022424,0.002641,0.003047,0.006679,0.006318,0.002921,0.007600,002-Noise
0.098925,0.047972,3.045028,0.141667,0.120239,0.948491,0.006472,0.142359,-27.210679,-0.806852,0.276453,-0.502897,0.184188,1.219693,-0.611525,-0.070799,0.461946,-0.089179,-0.757114,0.651607,-0.235418,0.000660,0.000111,0.021984,0.005918,0.000677,0.000340,0.016430,0.000070,0.000080,0.003346,0.000914,0.032396,0.015156,0.000408,0.000523,-0.004551,0.000454,0.000210,0.002880,0.000049,0.000399,0.047611,-0.023700,-0.007669,-0.001467,0.002970,-0.000656,-0.004747,-0.002144,0.005019,0.003501,-0.005483,0.003663,-0.001394,0.000001,0.000001,-0.000655,-0.000171,-0.000002,0.000001,0.000179,0.000001,0.000000,-0.000084,-0.000007,0.000030,-0.000067,0.032583,0.034799,0.397480,0.023120,0.020779,0.198716,0.009166,0.025221,2.038545,1.324056,0.359440,0.181950,0.293381,0.133912,0.251792,0.216806,0.335002,0.121456,0.286676,0.210300,0.168209,0.000796,0.000207,0.033528,0.008942,0.001356,0.000278,0.017237,0.000059,0.000134,0.005024,0.000985,0.018606,0.004711,0.024865,0.025421,0.602139,0.021572,0.024400,0.189979,0.012501,0.022806,2.063012,1.201214,0.447365,0.229240,0.285311,0.167783,0.234656,0.203849,0.304262,0.142939,0.260102,0.207682,0.167233,0.001056,0.000249,0.031375,0.008431,0.001672,0.000290,0.021102,0.000068,0.000150,0.004759,0.000962,0.014360,0.005665,002-Noise
0.059737,0.005104,2.858297,0.128626,0.163891,0.364623,0.006966,0.075408,-29.143358,0.898577,-0.668007,0.790317,-0.207225,-0.202294,0.216705,-0.073934,0.263989,-0.170916,0.145846,0.075321,0.146996,0.006796,0.005197,0.061252,0.007791,0.010962,0.007740,0.081321,0.003124,0.003385,0.005285,0.013862,0.004874,0.030466,-0.000313,-0.001860,-0.000751,0.000190,0.000769,-0.000444,0.000103,-0.000163,-0.118210,0.023423,0.017880,0.018228,0.017161,-0.008574,-0.006155,-0.010293,0.005399,0.007449,-0.009187,-0.007763,-0.000380,0.000014,-0.000001,0.000217,0.000433,0.000135,-0.001070,0.002518,0.000000,0.000003,0.000014,0.000399,-0.000001,0.000388,0.022187,0.010784,0.372681,0.024553,0.024383,0.229889,0.004694,0.036728,2.683459,0.723237,0.785439,0.401380,0.315162,0.378384,0.301143,0.329048,0.363987,0.365981,0.303162,0.264060,0.234700,0.008181,0.006804,0.052112,0.009467,0.008324,0.012089,0.073238,0.003573,0.003978,0.005210,0.014141,0.006502,0.020486,0.022402,0.012047,0.528846,0.023148,0.025602,0.200253,0.006367,0.033707,2.367547,0.704264,0.657131,0.374635,0.300808,0.355943,0.308650,0.433440,0.368209,0.335867,0.367935,0.236016,0.295618,0.010246,0.009065,0.061600,0.012168,0.010653,0.012359,0.081746,0.004795,0.005227,0.006552,0.017340,0.006820,0.019871,002-Noise
0.022473,0.002494,3.218822,0.046943,0.052123,0.578613,0.007530,0.030109,-43.809343,0.141637,-0.033115,0.000296,-0.090401,0.017533,0.119246,0.074248,-0.016871,-0.008825,-0.030465,-0.032842,0.015200,0.002278,0.001370,0.006615,0.002103,0.127441,0.001332,0.013452,0.001253,0.001103,0.001122,0.002721,0.001174,0.037684,-0.000281,-0.000000,0.004238,-0.002599,-0.002964,0.002428,0.000000,-0.000091,-0.107665,-0.023234,-0.005356,-0.006094,-0.006006,0.000410,-0.002543,-0.001608,0.001193,0.000569,-0.001729,-0.001048,0.002129,-0.000200,-0.000002,-0.000455,-0.000002,0.000548,-0.000017,-0.000330,-0.000001,-0.000002,-0.000002,-0.000114,-0.000004,0.000145,0.014335,0.001996,0.183133,0.021282,0.029472,0.128607,0.028499,0.021098,3.232610,0.334844,0.093876,0.104693,0.141731,0.094327,0.089010,0.079734,0.045926,0.059181,0.058758,0.059361,0.050343,0.002489,0.001312,0.008407,0.001893,0.021108,0.001414,0.023675,0.001483,0.001107,0.001157,0.003501,0.001138,0.006925,0.005625,0.001758,0.201637,0.013849,0.018516,0.073836,0.040617,0.011237,1.117864,0.224351,0.073496,0.095459,0.101405,0.120078,0.093563,0.102631,0.062977,0.075738,0.068827,0.058767,0.051102,0.001574,0.001377,0.008532,0.002049,0.013094,0.001659,0.027613,0.001726,0.001240,0.001351,0.003835,0.001181,0.005711,002-Noise
0.079669,0.000889,3.158522,0.130859,0.126045,0.520848,0.008031,0.108221,-40.678121,0.882870,0.079512,0.211271,0.057560,0.093062,0.065088,0.000248,-0.014795,0.031779,-0.036319,0.071523,-0.054386,0.004544,0.001964,0.010694,0.003949,0.103475,0.003904,0.011489,0.001172,0.002795,0.009360,0.009444,0.001566,0.029780,-0.000504,-0.000002,0.007350,-0.001033,-0.001539,-0.001766,-0.000000,-0.000417,-0.215909,-0.022825,0.006872,0.000176,-0.003901,-0.006821,-0.003028,0.002568,0.001201,0.000684,-0.002824,0.001065,0.001377,-0.000091,-0.000073,-0.000177,-0.000093,0.001247,-0.000077,-0.000365,-0.000090,-0.000169,-0.000232,-0.000080,-0.000024,0.000342,0.031529,0.001718,0.154760,0.040984,0.027245,0.253580,0.026116,0.070935,2.657687,0.588709,0.280188,0.155760,0.167026,0.119270,0.122240,0.107963,0.106554,0.122818,0.123468,0.124745,0.088342,0.004314,0.002155,0.008878,0.003428,0.020451,0.002996,0.006826,0.001428,0.003258,0.008653,0.007307,0.001306,0.005497,0.025690,0.001733,0.160923,0.029682,0.021437,0.242132,0.049276,0.071496,1.487320,0.416777,0.186615,0.161420,0.189201,0.140745,0.149667,0.120104,0.131819,0.141665,0.137560,0.127370,0.099459,0.006150,0.002532,0.010456,0.004025,0.017893,0.002967,0.008571,0.001651,0.004096,0.009325,0.009163,0.001528,0.004623,002-Noise
0.114741,0.031735,3.205037,0.158541,0.140826,1.156854,0.002479,0.185045,-26.182921,-0.693815,-0.436294,0.267795,-0.323125,0.404086,0.173221,-0.052162,0.126726,0.026019,-0.093179,0.036819,-0.068686,0.007184,0.005934,0.008353,0.003774,0.005227,0.003807,0.005969,0.005325,0.005539,0.010044,0.014658,0.004553,0.005882,0.000132,-0.000000,-0.000074,0.000162,0.000256,0.000972,0.000015,0.000009,-0.002068,-0.001164,-0.000923,0.000175,-0.000922,-0.001823,-0.001640,0.000951,0.001262,0.002010,-0.001402,-0.002725,0.002499,0.000039,-0.000038,0.000121,0.000009,-0.000038,-0.000109,-0.000100,0.000039,0.000010,-0.000073,-0.000034,-0.000140,-0.000018,0.016364,0.039102,0.147475,0.010315,0.013621,0.286921,0.001094,0.046917,2.115284,1.241614,0.409366,0.319945,0.256717,0.224896,0.223128,0.242988,0.172714,0.151282,0.165030,0.245849,0.191443,0.006376,0.004874,0.008219,0.002846,0.004072,0.002966,0.005073,0.005369,0.004144,0.008138,0.009373,0.003141,0.002924,0.014034,0.021210,0.178368,0.011487,0.018493,0.194449,0.001030,0.030537,0.952127,0.524480,0.332098,0.280590,0.229746,0.225839,0.263139,0.219032,0.209080,0.207692,0.206807,0.210360,0.209986,0.007433,0.006331,0.007417,0.003107,0.004776,0.003305,0.005072,0.007124,0.005910,0.011997,0.012073,0.003892,0.004032,002-Noise
0.050799,0.014403,3.107556,0.122940,0.167278,0.289010,0.004207,0.058439,-23.675921,1.852686,-0.792345,-0.290720,-0.435768,-0.135485,-0.333115,-0.220439,-0.226227,-0.110001,-0.167110,-0.126625,-0.083413,0.020207,0.008218,0.016375,0.017485,0.019417,0.018101,0.021783,0.008384,0.016312,0.015510,0.017463,0.009737,0.011669,-0.000032,-0.000015,-0.004542,-0.000407,-0.000476,-0.001758,0.000078,0.000018,-0.010326,0.000630,-0.013071,0.004186,0.006586,0.000889,-0.001446,0.003011,0.003068,-0.000155,-0.002150,0.000773,0.000389,-0.000273,0.000051,-0.000131,-0.000034,-0.000193,-0.000065,-0.000052,0.000003,-0.000067,0.000098,0.000213,0.000051,-0.000038,0.008221,0.007589,0.132178,0.014675,0.016468,0.092797,0.001273,0.013004,0.751508,0.303488,0.284840,0.269068,0.236149,0.231800,0.215919,0.216133,0.197380,0.143909,0.156463,0.148881,0.151134,0.013209,0.006228,0.011209,0.014408,0.011275,0.015048,0.014453,0.007386,0.010836,0.009762,0.008858,0.006612,0.004079,0.010178,0.008165,0.182207,0.016303,0.017939,0.114068,0.001581,0.016405,0.540486,0.378237,0.326149,0.319392,0.299935,0.305302,0.294031,0.279645,0.264839,0.205743,0.233429,0.211509,0.211579,0.017897,0.008951,0.014116,0.021388,0.015962,0.023268,0.019396,0.010343,0.014971,0.013754,0.012437,0.009823,0.005890,002-Noise
0.088376,0.024923,2.982857,0.239252,0.239972,0.627223,0.003954,0.073421,-25.433390,1.669199,0.768201,0.527659,0.732453,0.288248,0.312897,0.304128,0.231842,0.122359,0.173237,0.118665,0.071139,0.008753,0.000485,0.103020,0.002784,0.032409,0.000985,0.094185,0.000325,0.000907,0.005950,0.070198,0.000741,0.047876,-0.000213,0.000920,0.001836,-0.000746,-0.000441,0.000117,0.000073,0.000281,0.039741,0.009427,-0.002329,0.002447,0.001684,-0.003442,-0.004867,-0.003704,-0.005479,-0.002162,-0.000987,-0.000030,-0.006215,0.000008,0.000001,-0.001639,0.000007,0.000014,0.000039,-0.000023,0.000000,0.000001,0.000749,0.000298,-0.000001,-0.000143,0.028141,0.018576,0.152153,0.024933,0.009411,0.262726,0.001834,0.062540,0.684355,0.414294,0.256968,0.222730,0.157745,0.182943,0.233711,0.197026,0.198156,0.146530,0.158459,0.156308,0.156324,0.014112,0.000353,0.055035,0.005058,0.025201,0.000839,0.057937,0.000267,0.001006,0.009363,0.049454,0.000876,0.009442,0.029258,0.014441,0.206910,0.018938,0.007300,0.252619,0.002130,0.059127,0.490071,0.366491,0.258810,0.245855,0.203485,0.202780,0.244878,0.242499,0.245430,0.196899,0.200250,0.215617,0.194288,0.011630,0.000482,0.074183,0.006703,0.030971,0.001068,0.076195,0.000323,0.001290,0.008470,0.061554,0.000971,0.013120,002-Noise
